source_type,source,n,clickbait_n,informative_n,avg_clickbait_score,clickbait_rate
internacional,20 Minutos,39,8,31,0.13,0.20512820512820512
internacional,El Pais,54,9,45,0.08833333333333332,0.16666666666666666
nacional,Pagina 7,195,27,168,0.0942051282051282,0.13846153846153847
nacional,La Cuarta,182,23,159,0.08593406593406594,0.12637362637362637
nacional,En Cancha,192,24,168,0.08651041666666666,0.125
nacional,El Mostrador,17,2,15,0.07470588235294118,0.11764705882352941
internacional,Infobae,265,29,236,0.08245283018867926,0.10943396226415095
internacional,Marca,36,3,33,0.05972222222222222,0.08333333333333333
internacional,El Mundo,12,1,11,0.06,0.08333333333333333
nacional,CNN Chile,199,16,183,0.05065326633165829,0.08040201005025126
nacional,La Tercera,170,13,157,0.06835294117647059,0.07647058823529412
internacional,Mundo Deportivo,169,10,159,0.07467455621301775,0.05917159763313609
nacional,Diario Financiero,17,1,16,0.03882352941176471,0.058823529411764705
internacional,La Vanguardia,36,2,34,0.05388888888888889,0.05555555555555555
nacional,FMDOS,161,8,153,0.040683229813664595,0.049689440993788817
internacional,ABC,186,9,177,0.07016129032258064,0.04838709677419355
internacional,Clarin,293,14,279,0.03180887372013652,0.04778156996587031
internacional,BBC Mundo,243,11,232,0.03469135802469136,0.04526748971193416
internacional,CNN Espanol,158,7,151,0.02772151898734177,0.04430379746835443
nacional,BioBioChile,185,7,178,0.04005405405405405,0.03783783783783784
nacional,Meganoticias,169,4,165,0.02532544378698225,0.023668639053254437
